Name,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Pratima,14,0.875,0.8583333333333333,0.8888888888888888,0.6340084347908022
Niharbala,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Prakritish Barua,6,0.375,0.25416666666666665,0.6153846153846154,0.35840478026709643
Pratima's Friend,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Pratima's Sister,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Pratima's Mother,2,0.125,0.0,0.5333333333333333,0.23066571179924167
Rahima,2,0.125,0.0,0.5,0.19198482799684502
Rahima's Husband,2,0.125,0.0,0.5,0.19198482799684502
Bhupen Hazarika,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Ritwik Ghatak,2,0.125,0.0,0.5333333333333333,0.23066571179924167
Accompanists,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Ganga,3,0.1875,0.0125,0.5517241379310345,0.2800461478957419
Villeger,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
Noni,2,0.125,0.0,0.5,0.21245288027791906
Pratima's Daughter,1,0.0625,0.0,0.48484848484848486,0.1473617844539582
House Help,1,0.0625,0.0,0.3902439024390244,0.08330392734542039
Prakritish Barua's Friend,1,0.0625,0.0,0.3902439024390244,0.08330392734542039
